Date,Open,High,Low,Close,Volume,Adj Close
2007-10-15,2182.06,2184.86,2143.90,2158.92,1967120000,2158.92
2007-10-12,2151.94,2177.99,2148.38,2177.99,1957790000,2177.99
2007-10-11,2188.72,2194.14,2127.07,2140.92,2508690000,2140.92
2007-10-10,2172.67,2178.95,2164.91,2176.98,1916630000,2176.98
2007-10-09,2168.53,2173.95,2157.95,2171.21,1865120000,2171.21
2007-10-08,2151.11,2163.26,2144.22,2163.26,1496610000,2163.26
2007-10-05,2123.49,2151.72,2118.13,2149.67,2012860000,2149.67
2007-10-04,2107.11,2107.72,2088.79,2105.56,1695520000,2105.56
2007-10-03,2108.04,2117.38,2095.30,2103.01,1851090000,2103.01
2007-10-02,2116.15,2117.34,2104.15,2115.89,1740460000,2115.89
2007-10-01,2092.60,2120.79,2092.60,2116.97,1914080000,2116.97
2007-09-28,2096.37,2101.96,2082.04,2091.11,1929890000,2091.11
2007-09-27,2098.74,2099.61,2089.58,2096.39,1745070000,2096.39
2007-09-26,2088.12,2094.97,2079.92,2088.38,1984010000,2088.38
2007-09-25,2049.78,2076.83,2048.34,2076.83,1910890000,2076.83
2007-09-24,2054.77,2072.70,2047.51,2057.25,1848950000,2057.25
2007-09-21,2042.64,2054.09,2041.48,2049.48,2268300000,2049.48
2007-09-20,2035.87,2043.21,2029.53,2032.61,1751460000,2032.61
2007-09-19,2047.46,2056.27,2032.08,2041.36,2183810000,2041.36
2007-09-18,1993.85,2035.37,1985.70,2035.37,2083620000,2035.37
2007-09-17,1993.50,1995.47,1975.29,1983.08,1407780000,1983.08
2007-09-14,1984.24,2004.03,1981.91,2000.82,1586580000,2000.82
2007-09-13,2004.73,2005.96,1989.91,1998.63,1666510000,1998.63
2007-09-12,1986.21,2006.37,1983.44,1988.96,1888570000,1988.96
2007-09-11,1973.16,1991.02,1969.52,1988.98,1743730000,1988.98
2007-09-10,1975.67,1980.97,1943.27,1960.20,1771430000,1960.20
2007-09-07,1972.12,1975.31,1949.87,1958.35,1906520000,1958.35
2007-09-06,2001.76,2006.05,1984.44,1998.67,1795220000,1998.67
2007-09-05,2013.66,2017.32,1987.30,1994.38,1921820000,1994.38
2007-09-04,1989.28,2032.10,1989.28,2020.51,1863090000,2020.51
2007-08-31,1987.94,1993.73,1975.83,1988.73,1536640000,1988.73
2007-08-30,1942.79,1980.95,1940.92,1963.75,1704910000,1963.75
2007-08-29,1914.25,1955.46,1913.49,1954.85,1649720000,1954.85
2007-08-28,1934.93,1939.10,1899.24,1899.24,1562800000,1899.24
2007-08-27,1954.88,1958.96,1945.51,1947.49,1314030000,1947.49
2007-08-24,1928.80,1961.38,1924.11,1961.38,1624860000,1961.38
2007-08-23,1942.12,1945.11,1920.62,1931.88,1622880000,1931.88
2007-08-22,1927.31,1938.79,1922.19,1936.77,1787060000,1936.77
2007-08-21,1887.83,1915.10,1886.45,1910.99,1677080000,1910.99
2007-08-20,1891.13,1899.05,1874.27,1893.05,1656440000,1893.05
2007-08-17,1883.15,1893.77,1853.87,1888.78,2580340000,1888.78
2007-08-16,1850.17,1865.47,1805.66,1846.09,3279620000,1846.09
2007-08-15,1897.05,1913.79,1864.20,1864.92,2259870000,1864.92
2007-08-14,1938.79,1940.89,1901.32,1901.32,1982860000,1901.32
2007-08-13,1941.41,1946.75,1931.33,1934.41,2154750000,1934.41
2007-08-10,1918.99,1944.54,1896.69,1925.14,3202570000,1925.14
2007-08-09,1959.97,1990.96,1936.76,1936.76,3593450000,1936.76
2007-08-08,1974.33,1995.00,1968.34,1987.34,3542890000,1987.34
2007-08-07,1943.39,1976.70,1932.05,1961.64,2704030000,1961.64
2007-08-06,1931.38,1954.37,1912.69,1954.37,2815560000,1954.37
2007-08-03,1963.49,1964.50,1918.56,1918.56,2504430000,1918.56
2007-08-02,1950.95,1969.66,1944.37,1966.60,2456970000,1966.60
2007-08-01,1929.09,1946.76,1912.10,1945.08,2912270000,1945.08
2007-07-31,1992.53,1992.53,1931.99,1932.06,2789130000,1932.06
2007-07-30,1961.78,1981.86,1951.36,1973.93,2291710000,1973.93
2007-07-27,1988.85,1997.79,1956.16,1956.19,2705290000,1956.19
2007-07-26,1996.93,2012.49,1955.62,1986.60,3392140000,1986.60
2007-07-25,2017.56,2020.68,1996.05,2011.14,2482250000,2011.14
2007-07-24,2021.52,2037.72,1995.62,2000.55,2463270000,2000.55
2007-07-23,2043.82,2045.81,2031.37,2036.33,2034080000,2036.33
2007-07-20,2047.14,2048.24,2024.25,2035.88,2335920000,2035.88
2007-07-19,2052.31,2060.29,2046.96,2052.99,2177500000,2052.99
2007-07-18,2030.54,2038.64,2019.17,2037.98,2257380000,2037.98
2007-07-17,2031.33,2045.97,2030.57,2041.78,2158690000,2041.78
2007-07-16,2030.34,2037.50,2024.30,2028.02,1751060000,2028.02
2007-07-13,2018.84,2032.28,2017.28,2032.16,1729190000,2032.16
2007-07-12,1992.57,2021.03,1990.89,2021.03,2166350000,2021.03
2007-07-11,1968.98,1984.67,1965.61,1984.08,2014260000,1984.08
2007-07-10,1979.13,1989.35,1970.36,1971.89,2229340000,1971.89
2007-07-09,1989.76,1992.55,1982.37,1989.20,1895200000,1989.20
2007-07-06,1980.78,1989.43,1973.40,1988.31,1597110000,1988.31
2007-07-05,1967.74,1983.10,1964.49,1981.06,1694530000,1981.06
2007-07-03,1957.48,1965.20,1953.93,1965.20,1089120000,1965.20
2007-07-02,1943.28,1954.24,1939.74,1954.12,1853840000,1954.12
2007-06-29,1944.50,1947.00,1920.83,1934.10,2168420000,1934.10
2007-06-28,1931.77,1945.12,1930.53,1931.67,1923410000,1931.67
2007-06-27,1901.60,1934.03,1899.92,1933.06,2020260000,1933.06
2007-06-26,1923.70,1924.42,1901.18,1908.64,2100330000,1908.64
2007-06-25,1924.18,1934.84,1905.02,1912.90,2039010000,1912.90
2007-06-22,1936.78,1940.28,1917.52,1921.94,3240350000,1921.94
2007-06-21,1922.32,1943.42,1915.77,1941.32,2562640000,1941.32
2007-06-20,1945.06,1948.58,1922.07,1922.12,2793260000,1922.12
2007-06-19,1939.07,1946.88,1932.75,1941.75,1871880000,1941.75
2007-06-18,1947.79,1947.79,1939.27,1944.37,1717120000,1944.37
2007-06-15,1943.91,1946.70,1937.99,1942.41,2420750000,1942.41
2007-06-14,1914.28,1929.59,1913.53,1924.54,1936220000,1924.54
2007-06-13,1897.79,1913.87,1892.55,1913.87,2086610000,1913.87
2007-06-12,1892.13,1911.14,1887.77,1890.67,2047210000,1890.67
2007-06-11,1904.91,1917.43,1900.73,1901.96,1614980000,1901.96
2007-06-08,1884.66,1906.79,1876.52,1906.26,1908130000,1906.26
2007-06-07,1908.66,1918.82,1882.17,1882.17,2716240000,1882.17
2007-06-06,1924.43,1924.51,1908.80,1914.85,2163430000,1914.85
2007-06-05,1928.65,1932.94,1916.38,1932.35,2182810000,1932.35
2007-06-04,1921.95,1935.85,1920.21,1933.73,1947220000,1933.73
2007-06-01,1934.74,1940.81,1925.65,1928.26,1880030000,1928.26
2007-05-31,1923.56,1931.10,1919.27,1928.19,2286850000,1928.19
2007-05-30,1889.28,1918.08,1884.45,1918.08,1969150000,1918.08
2007-05-29,1891.07,1904.31,1887.26,1899.79,1651000000,1899.79
2007-05-25,1883.41,1892.71,1877.73,1889.25,1559700000,1889.25
2007-05-24,1904.19,1911.48,1869.51,1874.60,2350850000,1874.60
2007-05-23,1919.45,1925.43,1903.87,1904.41,2011060000,1904.41
2007-05-22,1913.51,1921.81,1905.77,1916.45,1943950000,1916.45
2007-05-21,1899.60,1919.60,1897.86,1911.16,1974220000,1911.16
2007-05-18,1890.88,1898.34,1885.93,1896.93,1996930000,1896.93
2007-05-17,1889.17,1892.71,1882.04,1884.68,1924890000,1884.68
2007-05-16,1878.52,1891.57,1866.98,1891.57,2061050000,1891.57
2007-05-15,1887.59,1898.02,1870.24,1871.79,2187760000,1871.79
2007-05-14,1902.10,1906.38,1878.63,1888.08,1941450000,1888.08
2007-05-11,1881.54,1899.44,1878.38,1898.79,1725550000,1898.79
